NEIGHBORHOOD,SALE PRICE,YEAR
LIVINGSTON,10,2018
MANOR HEIGHTS,63,2018
MARINERS HARBOR,102,2018
MIDLAND BEACH,103,2018
NEW BRIGHTON,75,2018
NEW BRIGHTON-ST. GEORGE,92,2018
NEW DORP,79,2018
NEW DORP-BEACH,38,2018
NEW DORP-HEIGHTS,42,2018
NEW SPRINGVILLE,200,2018
OAKWOOD,23,2018
OAKWOOD-BEACH,26,2018
PLEASANT PLAINS,25,2018
PORT IVORY,31,2018
PORT RICHMOND,95,2018
PRINCES BAY,83,2018
RICHMONDTOWN,48,2018
RICHMONDTOWN-LIGHTHS HILL,7,2018
ROSEBANK,147,2018
ROSSVILLE,83,2018
ROSSVILLE-CHARLESTON,61,2018
ROSSVILLE-PORT MOBIL,11,2018
ROSSVILLE-RICHMOND VALLEY,16,2018
SILVER LAKE,22,2018
SOUTH BEACH,122,2018
STAPLETON,65,2018
STAPLETON-CLIFTON,11,2018
SUNNYSIDE,30,2018
TODT HILL,43,2018
TOMPKINSVILLE,21,2018
TOTTENVILLE,151,2018
TRAVIS,36,2018
WEST NEW BRIGHTON,119,2018
WESTERLEIGH,82,2018
WILLOWBROOK,74,2018
WOODROW,94,2018
ANNADALE,81,2017
ARDEN HEIGHTS,114,2017
ARROCHAR,19,2017
ARROCHAR-SHORE ACRES,8,2017
BLOOMFIELD,114,2017
BULLS HEAD,136,2017
CASTLETON CORNERS,68,2017
CLOVE LAKES,39,2017
CONCORD,33,2017
CONCORD-FOX HILLS,9,2017
DONGAN HILLS,46,2017
DONGAN HILLS-COLONY,36,2017
DONGAN HILLS-OLD TOWN,2,2017
ELTINGVILLE,152,2017
EMERSON HILL,13,2017
FRESH KILLS,0,2017
GRANT CITY,68,2017
GRASMERE,46,2017
GREAT KILLS,329,2017
GREAT KILLS-BAY TERRACE,27,2017
GRYMES HILL,28,2017
HUGUENOT,75,2017
LIVINGSTON,16,2017
MANOR HEIGHTS,64,2017
MARINERS HARBOR,75,2017
MIDLAND BEACH,106,2017
NEW BRIGHTON,80,2017
NEW BRIGHTON-ST. GEORGE,22,2017
NEW DORP,78,2017
NEW DORP-BEACH,38,2017
NEW DORP-HEIGHTS,51,2017
NEW SPRINGVILLE,182,2017
OAKWOOD,20,2017
OAKWOOD-BEACH,31,2017
PLEASANT PLAINS,33,2017
PORT IVORY,16,2017
PORT RICHMOND,87,2017
PRINCES BAY,93,2017
RICHMONDTOWN,47,2017
RICHMONDTOWN-LIGHTHS HILL,6,2017
ROSEBANK,75,2017
ROSSVILLE,82,2017
ROSSVILLE-CHARLESTON,23,2017
ROSSVILLE-PORT MOBIL,16,2017
ROSSVILLE-RICHMOND VALLEY,6,2017
SILVER LAKE,29,2017
SOUTH BEACH,96,2017
STAPLETON,42,2017
