NEIGHBORHOOD,SALE PRICE,YEAR
JACKSON HEIGHTS,610,2018
JAMAICA,277,2018
JAMAICA BAY,6,2018
JAMAICA ESTATES,94,2018
JAMAICA HILLS,56,2018
KEW GARDENS,132,2018
LAURELTON,145,2018
LITTLE NECK,152,2018
LONG ISLAND CITY,1370,2018
MASPETH,377,2018
MIDDLE VILLAGE,234,2018
NEPONSIT,16,2018
OAKLAND GARDENS,147,2018
OZONE PARK,220,2018
QUEENS VILLAGE,239,2018
REGO PARK,809,2018
RICHMOND HILL,355,2018
RIDGEWOOD,279,2018
ROCKAWAY PARK,60,2018
ROSEDALE,171,2018
SO. JAMAICA-BAISLEY PARK,309,2018
SOUTH JAMAICA,234,2018
SOUTH OZONE PARK,216,2018
SPRINGFIELD GARDENS,240,2018
ST. ALBANS,250,2018
SUNNYSIDE,172,2018
WHITESTONE,251,2018
WOODHAVEN,182,2018
WOODSIDE,207,2018
AIRPORT LA GUARDIA,6,2017
ARVERNE,67,2017
ASTORIA,816,2017
BAYSIDE,654,2017
BEECHHURST,85,2017
BELLE HARBOR,65,2017
BELLEROSE,95,2017
BREEZY POINT,40,2017
BRIARWOOD,71,2017
BROAD CHANNEL,10,2017
CAMBRIA HEIGHTS,59,2017
COLLEGE POINT,258,2017
CORONA,297,2017
DOUGLASTON,142,2017
EAST ELMHURST,216,2017
ELMHURST,401,2017
FAR ROCKAWAY,304,2017
FLORAL PARK,82,2017
FLUSHING MEADOW PARK,5,2017
FLUSHING-NORTH,2470,2017
FLUSHING-SOUTH,366,2017
FOREST HILLS,472,2017
FRESH MEADOWS,74,2017
GLEN OAKS,122,2017
GLENDALE,185,2017
HAMMELS,39,2017
HILLCREST,48,2017
HOLLIS,271,2017
HOLLIS HILLS,31,2017
HOLLISWOOD,70,2017
HOWARD BEACH,170,2017
JACKSON HEIGHTS,467,2017
JAMAICA,160,2017
JAMAICA BAY,4,2017
JAMAICA ESTATES,95,2017
JAMAICA HILLS,41,2017
KEW GARDENS,127,2017
LAURELTON,116,2017
LITTLE NECK,126,2017
LONG ISLAND CITY,754,2017
MASPETH,333,2017
MIDDLE VILLAGE,233,2017
NEPONSIT,23,2017
OAKLAND GARDENS,136,2017
OZONE PARK,268,2017
QUEENS VILLAGE,198,2017
REGO PARK,413,2017
RICHMOND HILL,301,2017
RIDGEWOOD,221,2017
ROCKAWAY PARK,32,2017
ROSEDALE,233,2017
SO. JAMAICA-BAISLEY PARK,266,2017
SOUTH JAMAICA,193,2017
SOUTH OZONE PARK,213,2017
SPRINGFIELD GARDENS,221,2017
ST. ALBANS,194,2017
SUNNYSIDE,145,2017
WHITESTONE,243,2017
WOODHAVEN,185,2017
WOODSIDE,193,2017
AIRPORT JFK,8,2016
AIRPORT LA GUARDIA,3,2016
ARVERNE,100,2016
ASTORIA,815,2016
BAYSIDE,542,2016
BEECHHURST,78,2016
BELLE HARBOR,49,2016
BELLEROSE,91,2016
BRIARWOOD,57,2016
BROAD CHANNEL,13,2016
CAMBRIA HEIGHTS,44,2016
COLLEGE POINT,232,2016
CORONA,398,2016
DOUGLASTON,117,2016
EAST ELMHURST,111,2016
ELMHURST,641,2016
FAR ROCKAWAY,158,2016
FLORAL PARK,77,2016
FLUSHING MEADOW PARK,4,2016
FLUSHING-NORTH,1741,2016
FLUSHING-SOUTH,343,2016
FOREST HILLS,482,2016
FRESH MEADOWS,85,2016
GLEN OAKS,114,2016
