NEIGHBORHOOD,SALE PRICE,YEAR
COBBLE HILL,237,2018
COBBLE HILL-WEST,71,2018
CONEY ISLAND,210,2018
CROWN HEIGHTS,808,2018
CYPRESS HILLS,150,2018
DOWNTOWN-FULTON FERRY,279,2018
DOWNTOWN-FULTON MALL,233,2018
DOWNTOWN-METROTECH,357,2018
DYKER HEIGHTS,198,2018
EAST NEW YORK,457,2018
FLATBUSH-CENTRAL,568,2018
FLATBUSH-EAST,409,2018
FLATBUSH-LEFFERTS GARDEN,142,2018
FLATBUSH-NORTH,199,2018
FLATLANDS,72,2018
FORT GREENE,261,2018
GERRITSEN BEACH,43,2018
GOWANUS,560,2018
GRAVESEND,362,2018
GREENPOINT,723,2018
JAMAICA BAY,14,2018
KENSINGTON,263,2018
MADISON,389,2018
MANHATTAN BEACH,67,2018
MARINE PARK,160,2018
MIDWOOD,300,2018
MILL BASIN,98,2018
NAVY YARD,73,2018
OCEAN HILL,257,2018
OCEAN PARKWAY-NORTH,449,2018
OCEAN PARKWAY-SOUTH,263,2018
OLD MILL BASIN,87,2018
PARK SLOPE,931,2018
PARK SLOPE SOUTH,266,2018
PROSPECT HEIGHTS,621,2018
RED HOOK,463,2018
SEAGATE,29,2018
SHEEPSHEAD BAY,437,2018
SPRING CREEK,906,2018
SUNSET PARK,462,2018
WILLIAMSBURG-CENTRAL,96,2018
WILLIAMSBURG-EAST,491,2018
WILLIAMSBURG-NORTH,456,2018
WILLIAMSBURG-SOUTH,329,2018
WINDSOR TERRACE,137,2018
WYCKOFF HEIGHTS,68,2018
BATH BEACH,149,2017
BAY RIDGE,519,2017
BEDFORD STUYVESANT,1110,2017
BENSONHURST,392,2017
BERGEN BEACH,79,2017
BOERUM HILL,463,2017
BOROUGH PARK,750,2017
BRIGHTON BEACH,165,2017
BROOKLYN HEIGHTS,1299,2017
BROWNSVILLE,161,2017
BUSH TERMINAL,73,2017
BUSHWICK,531,2017
CANARSIE,330,2017
CARROLL GARDENS,247,2017
CLINTON HILL,419,2017
COBBLE HILL,136,2017
COBBLE HILL-WEST,56,2017
CONEY ISLAND,121,2017
CROWN HEIGHTS,617,2017
CYPRESS HILLS,148,2017
DOWNTOWN-FULTON FERRY,427,2017
DOWNTOWN-FULTON MALL,433,2017
DOWNTOWN-METROTECH,735,2017
DYKER HEIGHTS,181,2017
EAST NEW YORK,445,2017
FLATBUSH-CENTRAL,430,2017
FLATBUSH-EAST,356,2017
FLATBUSH-LEFFERTS GARDEN,159,2017
FLATBUSH-NORTH,176,2017
FLATLANDS,61,2017
FORT GREENE,275,2017
GERRITSEN BEACH,39,2017
GOWANUS,300,2017
GRAVESEND,341,2017
GREENPOINT,578,2017
JAMAICA BAY,0,2017
KENSINGTON,158,2017
MADISON,240,2017
MANHATTAN BEACH,56,2017
MARINE PARK,153,2017
MIDWOOD,349,2017
MILL BASIN,80,2017
NAVY YARD,44,2017
OCEAN HILL,231,2017
OCEAN PARKWAY-NORTH,376,2017
OCEAN PARKWAY-SOUTH,218,2017
OLD MILL BASIN,91,2017
PARK SLOPE,1128,2017
PARK SLOPE SOUTH,190,2017
PROSPECT HEIGHTS,451,2017
RED HOOK,217,2017
SEAGATE,34,2017
SHEEPSHEAD BAY,515,2017
SPRING CREEK,41,2017
