BOROUGH,NEIGHBORHOOD,SALE PRICE
1,CHELSEA,"1,070,600"
1,CHELSEA,"1,200,000"
1,CHELSEA,"845,000"
1,CHELSEA,"890,000"
1,CHELSEA,"785,000"
1,CHELSEA,"999,000"
1,CHELSEA,"4,579,002"
1,CHELSEA,"4,579,002"
1,CHELSEA,"4,579,002"
1,CHELSEA,"1,600,000"
1,CHELSEA,"4,579,002"
1,CHELSEA,"4,579,002"
1,CHELSEA,"4,579,002"
1,CHELSEA,"4,579,002"
1,CHELSEA,"4,579,002"
1,CHELSEA,"4,579,002"
1,CHELSEA,"4,579,002"
1,CHELSEA,"4,579,002"
1,CHELSEA,"4,579,002"
1,CHELSEA,"521,000"
1,CHELSEA,"1,635,000"
1,CHELSEA,"502,500"
1,CHELSEA,"950,000"
1,CHELSEA,"510,000"
1,CHELSEA,"490,000"
1,CHELSEA,"2,850,000"
1,CHELSEA,"1,200,000"
1,CHELSEA,"920,000"
1,CHELSEA,"690,000"
1,CHELSEA,"715,000"
1,CHELSEA,"56,375"
1,CHELSEA,"560,000"
1,CHELSEA,"550,000"
1,CHELSEA,"515,000"
1,CHELSEA,"585,000"
1,CHELSEA,"770,000"
1,CHELSEA,"435,000"
1,CHELSEA,"979,000"
1,CHELSEA,"1,050,000"
1,CHELSEA,"855,000"
1,CHELSEA,"1,450,000"
1,CHELSEA,"425,000"
1,CHELSEA,"680,000"
1,CHELSEA,"825,000"
1,CHELSEA,"869,950"
1,CHELSEA,"30,000"
1,CHELSEA,"1,115,000"
1,CHELSEA,"925,000"
1,CHELSEA,"675,000"
1,CHELSEA,"812,500"
1,CHELSEA,"855,000"
1,CHELSEA,"1,695,000"
1,CHELSEA,"1,745,000"
1,CHELSEA,"1,450,000"
1,CHELSEA,"960,000"
1,CHELSEA,"635,000"
1,CHELSEA,"537,500"
1,CHELSEA,"450,000"
1,CHELSEA,"1,250,000"
1,CHELSEA,"1,940,000"
1,CHELSEA,"2,382,500"
1,CHELSEA,"1,890,000"
1,CHELSEA,"7,900,000"
1,CHELSEA,"830,000"
1,CHELSEA,"1,775,000"
1,CHELSEA,"1,649,000"
1,CHELSEA,"2,300,000"
1,CHELSEA,"470,000"
1,CHELSEA,"575,000"
1,CHELSEA,"435,000"
1,CHELSEA,"999,000"
1,CHELSEA,"942,000"
1,CHELSEA,"935,000"
1,CHELSEA,"483,750"
1,CHELSEA,"960,000"
1,CHELSEA,"1,100,000"
1,CHELSEA,"1,300,000"
1,CHELSEA,"1,515,000"
1,CHELSEA,"3,800,000"
1,CHELSEA,"1,965,000"
1,CHELSEA,"3,755,506"
1,CHELSEA,"4,200,000"
1,CHELSEA,"1,420,000"
1,CHELSEA,"5,155,000"
1,CHELSEA,"6,900,000"
1,CHELSEA,"1,650,000"
1,CHELSEA,"1,646,000"
1,CHELSEA,"4,950,000"
1,CHELSEA,"4,400,000"
1,CHELSEA,"6,350,000"
1,CHELSEA,"5,500,000"
1,CHELSEA,"855,000"
1,CHELSEA,"651,000"
1,CHELSEA,"810,000"
1,CHELSEA,"690,000"
1,CHELSEA,"990,000"
1,CHELSEA,"1,080,000"
1,CHELSEA,"960,000"
1,CHELSEA,"1,650,000"
1,CHELSEA,"999,000"
1,CHELSEA,"1,080,000"
1,CHELSEA,"1,687,500"
1,CHELSEA,"5,450,000"
1,CHELSEA,"4,676,234"
1,CHELSEA,"4,400,000"
1,CHELSEA,"4,598,325"
1,CHELSEA,"4,726,753"
1,CHELSEA,"6,520,050"
1,CHELSEA,"4,500,000"
1,CHELSEA,"5,013,566"
1,CHELSEA,"610,000"
1,CHELSEA,"1,850,000"
1,CHELSEA,"2,800,000"
1,CHELSEA,"4,173,000"
1,CHELSEA,"3,600,000"
1,CHELSEA,"6,700,000"
1,CHELSEA,"3,928,750"
1,CHELSEA,"6,850,000"
1,CHELSEA,"8,000,000"
1,CHELSEA,"20,207,500"
1,CHELSEA,"4,061,681"
1,CHELSEA,"4,188,137"
1,CHELSEA,"4,189,575"
1,CHELSEA,"4,174,825"
1,CHELSEA,"4,188,075"
1,CHELSEA,"575,000"
1,CHELSEA,"1,625,000"
1,CHELSEA,"1,995,000"
1,CHELSEA,"1,600,000"
1,CHELSEA,"2,800,000"
1,CHELSEA,"2,299,000"
1,CHELSEA,"2,850,000"
1,CHELSEA,"1,925,000"
1,CHELSEA,"2,320,000"
1,CHELSEA,"1,120,000"
1,CHELSEA,"995,000"
1,CHELSEA,"2,268,750"
1,CHELSEA,"2,050,000"
1,CHELSEA,"745,000"
1,CHELSEA,"710,000"
1,CHELSEA,"994,900"
1,CHELSEA,"915,000"
1,CHELSEA,"1,631,250"
1,CHELSEA,"2,250,000"
1,CHELSEA,"3,230,000"
1,CHELSEA,"925,000"
1,CHELSEA,"898,000"
1,CHELSEA,"925,000"
1,CHELSEA,"1,700,000"
1,CHELSEA,"999,999"
1,CHELSEA,"1,765,000"
1,CHELSEA,"1,660,000"
1,CHELSEA,"1,660,000"
1,CHELSEA,"1,470,000"
1,CHELSEA,"1,875,000"
1,CHELSEA,"1,280,000"
1,CHELSEA,"2,650,000"
1,CHELSEA,"2,775,000"
1,CHELSEA,"3,100,000"
1,CHELSEA,"2,999,999"
1,CHELSEA,"1,650,000"
1,CHELSEA,"1,075,000"
1,CHELSEA,"2,600,000"
1,CHELSEA,"18,250,000"
1,CHELSEA,"6,000,000"
1,CHELSEA,"930,000"
1,CHELSEA,"705,000"
1,CHELSEA,"4,000,000"
1,CHELSEA,"1,810,000"
1,CHELSEA,"270,362"
1,CHELSEA,"1,730,000"
1,CHELSEA,"2,725,000"
1,CHELSEA,"1,220,000"
1,CHELSEA,"1,405,000"
1,CHELSEA,"3,200,000"
1,CHELSEA,"6,996,701"
1,CHELSEA,"2,750,000"
1,CHELSEA,"3,420,000"
1,CHELSEA,"5,400,000"
1,CHELSEA,"3,662,500"
1,CHELSEA,"2,075,000"
1,CHELSEA,"2,800,000"
1,CHELSEA,"1,525,000"
1,CHELSEA,"2,270,000"
1,CHELSEA,"2,562,500"
1,CHELSEA,"1,950,000"
1,CHELSEA,"5,000,000"
1,CHELSEA,"2,350,000"
1,CHELSEA,"2,280,000"
1,CHELSEA,"2,340,000"
1,CHELSEA,"982,782"
1,CHELSEA,"2,475,000"
1,CHELSEA,"1,175,000"
1,CHELSEA,"1,810,000"
1,CHELSEA,"1,995,000"
1,CHELSEA,"1,090,000"
1,CHELSEA,"600,000"
1,CHELSEA,"1,580,000"
1,CHELSEA,"2,290,000"
1,CHELSEA,"1,550,000"
1,CHELSEA,"109,900"
1,CHELSEA,"945,000"
1,CHELSEA,"2,223,850"
1,CHELSEA,"1,250,000"
1,CHELSEA,"652,000"
1,CHELSEA,"890,000"
1,CHELSEA,"538,000"
1,CHELSEA,"810,000"
1,CHELSEA,"1,825,000"
1,CHELSEA,"1,925,000"
1,CHELSEA,"1,172,000"
1,CHELSEA,"2,300,000"
1,CHELSEA,"4,500,000"
1,CHELSEA,"3,900,000"
1,CHELSEA,"2,070,000"
1,CHELSEA,"1,990,000"
1,CHELSEA,"2,950,000"
1,CHELSEA,"1,450,000"
1,CHELSEA,"2,200,000"
1,CHELSEA,"2,675,000"
1,CHELSEA,"1,452,500"
1,CHELSEA,"2,015,000"
1,CHELSEA,"1,750,000"
1,CHELSEA,"2,265,000"
1,CHELSEA,"2,575,000"
1,CHELSEA,"720,000"
1,CHELSEA,"650,000"
1,CHELSEA,"980,000"
1,CHELSEA,"645,000"
1,CHELSEA,"1,773,000"
1,CHELSEA,"6,550,000"
1,CHELSEA,"3,850,000"
1,CHELSEA,"840,000"
1,CHELSEA,"2,450,000"
1,CHELSEA,"7,500,000"
1,CHELSEA,"150,000"
1,CHELSEA,"672,500"
1,CHELSEA,"530,402"
1,CHELSEA,"659,000"
1,CHELSEA,"595,000"
1,CHELSEA,"530,000"
1,CHELSEA,"520,000"
1,CHELSEA,"595,000"
1,CHELSEA,"1,400,000"
1,CHELSEA,"1,350,000"
1,CHELSEA,"965,000"
1,CHELSEA,"1,350,000"
1,CHELSEA,"464,500"
1,CHELSEA,"980,000"
1,CHELSEA,"467,843"
1,CHELSEA,"489,000"
1,CHELSEA,"575,000"
1,CHELSEA,"977,500"
1,CHELSEA,"467,000"
1,CHELSEA,"2,800,000"
1,CHELSEA,"2,810,405"
1,CHELSEA,"995,000"
1,CHELSEA,"273,780"
1,CHELSEA,"525,000"
1,CHELSEA,"630,000"
1,CHELSEA,"1,437,500"
1,CHELSEA,"2,400,000"
1,CHELSEA,"1,720,000"
1,CHELSEA,"767,500"
1,CHELSEA,"585,000"
1,CHELSEA,"436,500"
1,CHELSEA,"2,155,000"
1,CHELSEA,"570,000"
1,CHELSEA,"480,000"
1,CHELSEA,"600,000"
1,CHELSEA,"505,000"
1,CHELSEA,"1,450,000"
1,CHELSEA,"740,000"
1,CHELSEA,"12,333,333"
1,CHELSEA,"6,166,667"
1,CHELSEA,"7,550,000"
1,CHELSEA,"3,607,000"
1,CHELSEA,"3,625,000"
1,CHELSEA,"9,000,000"
1,CHELSEA,"7,680,000"
1,CHELSEA,"147,362,877"
1,CHELSEA,"7,680,000"
1,CHELSEA,"5,256,863"
1,CHELSEA,"5,400,000"
1,CHELSEA,"6,093,878"
1,CHELSEA,"5,375,000"
1,CHELSEA,"6,007,114"
1,CHELSEA,"5,672,818"
1,CHELSEA,"5,961,213"
1,CHELSEA,"7,500,000"
1,CHELSEA,"7,500,000"
1,CHELSEA,"7,500,000"
1,CHELSEA,"4,825,000"
1,CHELSEA,"11,000,000"
1,CHELSEA,"40,000"
1,CHELSEA,"3,230,000"
1,CHELSEA,"2,280,000"
1,CHINATOWN,"3,820,000"
1,CHINATOWN,"14,000,000"
1,CHINATOWN,"14,000,000"
1,CHINATOWN,"3,141,031"
1,CHINATOWN,"3,250,000"
1,CHINATOWN,"1,925,000"
1,CHINATOWN,"2,550,000"
1,CHINATOWN,"680,000"
1,CHINATOWN,"2,200,000"
1,CHINATOWN,"765,000"
1,CHINATOWN,"850,000"
1,CHINATOWN,"3,725,000"
1,CHINATOWN,"3,800,000"
1,CHINATOWN,"990,000"
1,CHINATOWN,"965,000"
1,CHINATOWN,"690,000"
1,CHINATOWN,"1,150,000"
1,CHINATOWN,"7,250,000"
1,CHINATOWN,"3,950,000"
1,CHINATOWN,"28,600,000"
1,CHINATOWN,"3,200,000"
1,CHINATOWN,"999,000"
1,CHINATOWN,"527,000"
1,CHINATOWN,"2,217,670"
1,CHINATOWN,"990,000"
1,CHINATOWN,"480,036"
1,CHINATOWN,"494,046"
1,CHINATOWN,"2,601,920"
1,CHINATOWN,"50,000"
1,CIVIC CENTER,"2,200,000"
1,CIVIC CENTER,"670,000"
1,CIVIC CENTER,"1,300,000"
1,CIVIC CENTER,"940,000"
1,CIVIC CENTER,"868,000"
1,CIVIC CENTER,"200,000"
1,CIVIC CENTER,"908,300"
1,CIVIC CENTER,"2,250,000"
1,CIVIC CENTER,"550,000"
1,CIVIC CENTER,"502,500"
1,CIVIC CENTER,"1,475,000"
1,CIVIC CENTER,"883,000"
1,CIVIC CENTER,"695,000"
1,CIVIC CENTER,"2,750,000"
1,CIVIC CENTER,"2,015,000"
1,CIVIC CENTER,"16,000,000"
1,CIVIC CENTER,"4,950,000"
1,CIVIC CENTER,"6,500,000"
1,CIVIC CENTER,"5,400,000"
1,CIVIC CENTER,"5,680,000"
1,CIVIC CENTER,"2,500,000"
1,CIVIC CENTER,"1,650,000"
1,CIVIC CENTER,"1,525,000"
1,CIVIC CENTER,"1,128,000"
1,CIVIC CENTER,"1,150,000"
1,CIVIC CENTER,"3,800,000"
1,CIVIC CENTER,"2,600,000"
1,CIVIC CENTER,"5,450,000"
1,CIVIC CENTER,"6,650,000"
1,CIVIC CENTER,"9,300,000"
1,CIVIC CENTER,"10,500,000"
1,CIVIC CENTER,"4,350,000"
1,CIVIC CENTER,"1,595,000"
1,CIVIC CENTER,"1,950,000"
1,CIVIC CENTER,"1,475,000"
1,CIVIC CENTER,"2,167,500"
1,CIVIC CENTER,"1,075,000"
1,CIVIC CENTER,"3,300,000"
1,CIVIC CENTER,"2,850,000"
1,CIVIC CENTER,"2,102,560"
1,CIVIC CENTER,"3,265,000"
1,CIVIC CENTER,"4,853,200"
1,CIVIC CENTER,"7,300,000"
1,CIVIC CENTER,"2,251,338"
1,CIVIC CENTER,"2,650,000"
1,CIVIC CENTER,"2,025,000"
1,CIVIC CENTER,"5,525,000"
1,CIVIC CENTER,"2,900,000"
1,CIVIC CENTER,"3,500,000"
1,CIVIC CENTER,"2,890,000"
1,CIVIC CENTER,"1,895,000"
1,CIVIC CENTER,"2,025,000"
1,CIVIC CENTER,"2,020,000"
1,CIVIC CENTER,"2,090,000"
1,CIVIC CENTER,"4,050,000"
1,CIVIC CENTER,"4,990,000"
1,CIVIC CENTER,"5,400,000"
1,CIVIC CENTER,"4,995,000"
1,CIVIC CENTER,"1,781,938"
1,CIVIC CENTER,"1,650,000"
1,CIVIC CENTER,"1,790,000"
1,CIVIC CENTER,"2,036,500"
1,CIVIC CENTER,"2,270,000"
1,CIVIC CENTER,"2,119,955"
1,CIVIC CENTER,"2,593,922"
1,CIVIC CENTER,"3,601,655"
1,CIVIC CENTER,"1,897,046"
1,CIVIC CENTER,"1,660,893"
1,CIVIC CENTER,"2,800,000"
1,CIVIC CENTER,"4,075,339"
1,CIVIC CENTER,"3,223,780"
1,CIVIC CENTER,"1,762,718"
1,CIVIC CENTER,"2,810,503"
1,CIVIC CENTER,"4,254,223"
1,CIVIC CENTER,"3,245,000"
1,CIVIC CENTER,"2,896,563"
1,CIVIC CENTER,"4,280,107"
1,CIVIC CENTER,"3,316,368"
1,CIVIC CENTER,"2,875,609"
1,CIVIC CENTER,"2,296,853"
1,CIVIC CENTER,"3,951,119"
1,CIVIC CENTER,"1,865,318"
1,CIVIC CENTER,"1,786,541"
1,CIVIC CENTER,"2,979,950"
1,CIVIC CENTER,"1,641,229"
1,CIVIC CENTER,"1,820,721"
1,CIVIC CENTER,"1,632,062"
1,CIVIC CENTER,"4,395,925"
1,CIVIC CENTER,"1,737,714"
1,CIVIC CENTER,"3,518,547"
1,CIVIC CENTER,"1,820,960"
1,CIVIC CENTER,"2,845,902"
1,CIVIC CENTER,"6,426,357"
1,CIVIC CENTER,"4,320,908"
1,CIVIC CENTER,"1,801,967"
1,CIVIC CENTER,"2,850,000"
1,CIVIC CENTER,"2,999,999"
1,CIVIC CENTER,"2,250,000"
1,CIVIC CENTER,"3,150,000"
1,CIVIC CENTER,"3,550,000"
1,CIVIC CENTER,"3,100,000"
1,CIVIC CENTER,"757,500"
1,CIVIC CENTER,"395,800"
1,CIVIC CENTER,"2,199,000"
1,CIVIC CENTER,"2,400,000"
1,CIVIC CENTER,"1,459,356"
1,CIVIC CENTER,"2,545,625"
1,CIVIC CENTER,"2,660,000"
1,CIVIC CENTER,"1,420,000"
1,CIVIC CENTER,"2,605,000"
1,CIVIC CENTER,"2,732,168"
1,CIVIC CENTER,"3,625,000"
1,CIVIC CENTER,"2,935,818"
1,CIVIC CENTER,"1,480,000"
1,CIVIC CENTER,"3,838,000"
1,CIVIC CENTER,"4,150,000"
1,CIVIC CENTER,"4,334,000"
1,CIVIC CENTER,"8,449,973"
1,CIVIC CENTER,"4,025,000"
1,CIVIC CENTER,"3,500,000"
1,CIVIC CENTER,"6,150,000"
1,CIVIC CENTER,"4,872,000"
1,CIVIC CENTER,"21,551,257"
1,CIVIC CENTER,"7,100,000"
1,CIVIC CENTER,"4,100,000"
1,CIVIC CENTER,"2,600,000"
1,CIVIC CENTER,"5,400,000"
1,CIVIC CENTER,"2,600,000"
1,CIVIC CENTER,"2,650,000"
1,CIVIC CENTER,"2,075,000"
1,CIVIC CENTER,"6,700,000"
1,CIVIC CENTER,"1,150,000"
1,CIVIC CENTER,"4,050,000"
1,CIVIC CENTER,"3,717,900"
1,CIVIC CENTER,"10,500,000"
1,CIVIC CENTER,"35,819,000"
1,CIVIC CENTER,"2,487,500"
1,CIVIC CENTER,"1,480,000"
1,CIVIC CENTER,"16,500"
1,CIVIC CENTER,"4,334,000"
1,CIVIC CENTER,"2,199,000"
1,CIVIC CENTER,"2,199,000"
1,CIVIC CENTER,"3,838,000"
1,CIVIC CENTER,"3,625,000"
1,CIVIC CENTER,"2,400,000"
1,CIVIC CENTER,"2,660,000"
1,CIVIC CENTER,"2,732,168"
1,CIVIC CENTER,"4,150,000"
1,CIVIC CENTER,"8,449,973"
1,CIVIC CENTER,"2,660,000"
1,CIVIC CENTER,"1,420,000"
1,CLINTON,"7,500,000"
1,CLINTON,"3,050,000"
1,CLINTON,"5,468,235"
1,CLINTON,"5,758,704"
1,CLINTON,"10,084,984"
1,CLINTON,"4,000,000"
1,CLINTON,"8,400,000"
1,CLINTON,"481,330"
1,CLINTON,"153,400"
1,CLINTON,"422,328"
1,CLINTON,"675,000"
1,CLINTON,"620,000"
1,CLINTON,"540,000"
1,CLINTON,"640,000"
1,CLINTON,"360,000"
1,CLINTON,"475,000"
1,CLINTON,"317,500"
1,CLINTON,"422,500"
1,CLINTON,"1,300,000"
1,CLINTON,"1,300,000"
1,CLINTON,"1,300,000"
1,CLINTON,"1,300,000"
1,CLINTON,"1,300,000"
1,CLINTON,"1,300,000"
1,CLINTON,"1,300,000"
1,CLINTON,"80,320"
1,CLINTON,"605,000"
1,CLINTON,"550,000"
1,CLINTON,"330,000"
1,CLINTON,"530,000"
1,CLINTON,"515,000"
1,CLINTON,"320,000"
1,CLINTON,"309,000"
1,CLINTON,"385,000"
1,CLINTON,"299,000"
1,CLINTON,"1,210,000"
1,CLINTON,"390,000"
1,CLINTON,"417,500"
1,CLINTON,"480,000"
1,CLINTON,"425,000"
1,CLINTON,"740,000"
1,CLINTON,"900,000"
1,CLINTON,"490,000"
1,CLINTON,"487,000"
1,CLINTON,"1,665,000"
1,CLINTON,"655,000"
1,CLINTON,"440,000"
1,CLINTON,"250,000"
1,CLINTON,"295,000"
1,CLINTON,"270,000"
1,CLINTON,"444,086"
1,CLINTON,"635,000"
1,CLINTON,"313,000"
1,CLINTON,"590,000"
1,CLINTON,"775,000"
1,CLINTON,"1,182,000"
1,CLINTON,"1,680,113"
1,CLINTON,"1,180,000"
1,CLINTON,"626,000"
1,CLINTON,"712,000"
1,CLINTON,"835,000"
1,CLINTON,"700,000"
1,CLINTON,"815,000"
1,CLINTON,"1,550,000"
1,CLINTON,"2,175,000"
1,CLINTON,"4,300,000"
1,CLINTON,"2,300,000"
1,CLINTON,"6,125,000"
1,CLINTON,"1,369,242"
1,CLINTON,"1,500,000"
1,CLINTON,"1,550,000"
1,CLINTON,"2,904,600"
1,CLINTON,"875,000"
1,CLINTON,"850,000"
1,CLINTON,"1,095,000"
1,CLINTON,"1,200,000"
1,CLINTON,"1,550,000"
1,CLINTON,"1,250,000"
1,CLINTON,"2,495,000"
1,CLINTON,"1,250,000"
1,CLINTON,"1,260,000"
1,CLINTON,"1,988,000"
1,CLINTON,"1,500,000"
1,CLINTON,"875,000"
1,CLINTON,"499,000"
1,CLINTON,"835,000"
1,CLINTON,"860,000"
1,CLINTON,"1,575,000"
1,CLINTON,"857,000"
1,CLINTON,"835,000"
1,CLINTON,"860,000"
1,CLINTON,"920,000"
1,CLINTON,"1,285,000"
1,CLINTON,"880,000"
1,CLINTON,"925,000"
1,CLINTON,"1,159,966"
1,CLINTON,"1,173,141"
1,CLINTON,"1,242,265"
1,CLINTON,"1,210,000"
1,CLINTON,"890,969"
1,CLINTON,"2,199,511"
1,CLINTON,"2,767,000"
1,CLINTON,"1,999,000"
1,CLINTON,"1,337,370"
1,CLINTON,"4,550,000"
1,CLINTON,"4,529,461"
1,CLINTON,"960,000"
1,CLINTON,"807,000"
1,CLINTON,"600,000"
1,CLINTON,"693,000"
1,CLINTON,"520,000"
1,CLINTON,"532,500"
1,CLINTON,"541,000"
1,CLINTON,"735,000"
1,CLINTON,"965,000"
1,CLINTON,"1,235,000"
1,CLINTON,"1,250,000"
1,CLINTON,"584,000"
1,CLINTON,"650,000"
1,CLINTON,"1,150,000"
1,CLINTON,"58,527"
1,CLINTON,"1,250,000"
1,CLINTON,"1,025,000"
1,CLINTON,"880,000"
1,CLINTON,"927,500"
1,CLINTON,"1,100,000"
1,CLINTON,"1,475,000"
1,CLINTON,"730,000"
1,CLINTON,"1,010,000"
1,CLINTON,"835,000"
1,CLINTON,"912,500"
1,CLINTON,"1,475,000"
1,CLINTON,"1,550,000"
1,CLINTON,"963,888"
1,CLINTON,"1,150,000"
1,CLINTON,"800,000"
1,CLINTON,"1,700,000"
1,CLINTON,"795,000"
1,CLINTON,"65,000"
1,CLINTON,"985,000"
1,CLINTON,"560,000"
1,CLINTON,"1,800,000"
1,CLINTON,"1,250,000"
1,CLINTON,"460,000"
1,CLINTON,"90,000,000"
1,CLINTON,"90,000,000"
1,CLINTON,"1,850,000"
1,CLINTON,"877,500"
1,CLINTON,"145,000"
1,CLINTON,"80,000"
1,CLINTON,"626,000"
1,CLINTON,"626,000"
1,CLINTON,"45,000"
1,CLINTON,"45,000"
1,EAST VILLAGE,"4,725,000"
1,EAST VILLAGE,"8,405,000"
1,EAST VILLAGE,"8,500,000"
1,EAST VILLAGE,"4,000,000"
1,EAST VILLAGE,"4,000,000"
1,EAST VILLAGE,"8,475,000"
1,EAST VILLAGE,"4,675,000"
1,EAST VILLAGE,"414,342"
